arbeitsort_plz,count
01067,2257
01069,976
01099,728
01445,712
02625,878
04103,1223
04109,1931
04509,932
06108,1039
06886,743
07545,870
07743,1058
07745,1019
08056,963
09111,1008
09599,832
10115,1670
10117,2740
10178,1580
10179,932
10243,907
10365,781
10587,1242
12099,757
12163,1555
12489,705
12681,2873
13353,1941
14641,767
14974,744
17033,792
17192,718
17489,721
18055,1227
20095,2290
20097,1914
20457,1803
20537,817
21079,893
21129,1348
21614,707
22113,755
22335,834
22926,719
24103,1266
24768,866
25421,719
25524,897
26789,772
26871,719
27283,753
28195,2548
28199,978
28309,1001
28816,720
29525,806
30159,2446
31134,704
33098,733
33602,1321
34117,1663
34123,772
35037,718
36037,830
36251,818
37073,837
38100,1147
38440,817
38518,707
39104,1534
39576,805
40210,1236
40212,748
40213,1147
40474,883
40764,954
41061,846
41460,1205
42103,902
44135,1023
44137,751
44787,899
45127,1568
45657,902
47051,1402
47798,780
48143,1048
48155,822
48268,967
48282,713
48599,1358
48683,1157
49074,1455
49324,710
49377,865
50354,854
50667,2143
50968,904
52062,737
53111,1167
53721,726
55116,1053
55543,1049
56068,927
56070,798
59494,969
60311,1286
60313,1509
60314,928
60486,1044
60549,942
63450,859
64283,1029
64625,763
65760,899
66111,832
66740,761
67059,744
67346,889
67547,881
68159,909
68161,996
69115,956
70173,3331
70174,926
70178,727
70565,869
70771,778
71229,742
72336,766
73230,742
73614,763
74072,1279
74172,766
74523,1317
74564,1233
76131,1393
76133,1452
76137,730
76227,789
76275,898
76437,884
76646,985
76829,872
77652,850
77933,1040
78224,839
78532,776
78628,712
79098,922
79108,741
79539,767
80331,2855
80333,1056
80335,856
80336,774
80636,1045
80687,1689
80807,1451
80809,1021
82256,768
83022,729
85049,879
86150,1505
86609,1720
86899,776
87600,739
87700,1705
88131,708
88212,874
88239,725
88400,1314
89073,1331
89077,928
89231,901
89312,786
90402,1670
91052,1020
91058,995
91126,776
91301,733
91522,1000
92224,960
92318,832
92637,1403
93047,1050
93055,1104
93413,797
94315,1350
94469,884
95326,766
96052,776
96450,1178
97070,1306
97421,747
99084,1578
99310,914
99734,961
99817,1035
99867,923
