berufsfeld,count
Altenpflege,20345
Angehörige der regulären Streitkräfte in sonstigen Rängen,52
Angehörige gesetzgebender Körperschaften,19
Arzt- und Praxishilfe,23544
"Aus- und Trockenbau, Isolierung, Zimmerei, Glaserei",8374
Bau- und Transportgeräteführung,16662
"Bauplanung und -überwachung, Architektur",10436
"Berg-, Tagebau und Sprengtechnik",230
Bestattungswesen,203
Biologie,1222
Bodenverlegung,3034
"Buch- und Kunstantiquitäten, Musikfachhandel",255
"Bühnen- und Kostümbildnerei, Requisite",60
Büro und Sekretariat,37478
Chemie,6233
"Drucktechnik, Buchbinderei",2081
Einkauf und Vertrieb,21930
Elektrotechnik,23049
Energietechnik,35793
Ernährungs- und Gesundheitsberatung,866
"Erziehung, Sozialarbeit, Heilerziehungspflege",35791
Fahr- und Sportunterricht an außerschulischen Bildungseinrichtungen,1498
"Fahrzeug-, Luft-, Raumfahrt- und Schiffbautechnik",28981
Fahrzeugführung im Eisenbahnverkehr,694
Fahrzeugführung im Flugverkehr,31
Fahrzeugführung im Schiffsverkehr,224
Fahrzeugführung im Straßenverkehr,19377
Farb- und Lacktechnik,5040
Feinwerk- und Werkzeugtechnik,5390
Fischwirtschaft,43
Floristik,1053
"Forstwirtschaft, Jagdwirtschaft, Landschaftspflege",538
Fototechnik und Fotografie,133
Gartenbau,8585
Gastronomie,18920
Gebäudetechnik,5440
Geisteswissenschaften,278
"Geologie, Geografie und Meteorologie",374
Geschäftsführung und Vorstand,440
Gesellschaftswissenschaften,1533
Getränkeherstellung,360
"Gewerbe, Gesundheitsaufsicht, Desinfektion",470
Handel,17148
Hauswirtschaft und Verbraucherberatung,4968
Hochbau,14633
Holzbe- und -verarbeitung,10775
Hotellerie,9029
Human- und Zahnmedizin,12120
"IT-Netzwerktechnik, -Administration, -Organisation",12104
"IT-Systemanalyse, -Anwendungsberatung und -Vertrieb",5659
Immobilienwirtschaft und Facility-Management,3970
Industrielle Glasherstellung,799
Industrielle Keramikherstellung,294
Informatik,14584
"Innenarchitektur, Raumausstattung",747
Kaufleute - Verkehr und Logistik,10545
"Klempnerei, Sanitär-, Heizungs- und Klimatechnik",18791
"Krankenpflege, Rettungsdienst und Geburtshilfe",30910
Kunsthandwerk und bildende Kunst,184
Kunsthandwerkliche Keramik- und Glasgestaltung,50
Kunsthandwerkliche Metallgestaltung,589
Kunststoff- und Kautschukherstellung,7628
Körperpflege,6191
"Lagerwirtschaft, Post und Zustellung, Güterumschlag",52290
Landwirtschaft,1824
Lebensmittel- und Genussmittelherstellung,12749
Leder- und Pelzherstellung,753
Lehr- und Forschungstätigkeit an Hochschulen,917
Lehrtätigkeit an allgemeinbildenden Schulen,1240
Lehrtätigkeit an außerschulischen Bildungseinrichtungen,1355
Lehrtätigkeit berufsbildender Fächer und betriebliche Ausbildung,1935
"Maler, Stuckateure, Bautenschutz",9300
Maschinenbau- und Betriebstechnik,43573
Mathematik und Statistik,292
Mechatronik und Automatisierungstechnik,17434
"Medien-, Dokumentations- und Informationsdienste",687
"Medizin-, Orthopädie- und Rehatechnik",6842
Medizinisches Laboratorium,2242
Metallbau und Schweißtechnik,21711
Metallbearbeitung,27712
Metallerzeugung,1198
Metalloberflächenbehandlung,1993
Moderation und Unterhaltung,45
Museumstechnik und -management,63
"Musik-, Gesang-, Dirigententätigkeiten",30
Musikinstrumentenbau,81
"Naturstein- und Mineralaufbereitung, Baustoffherstellung",1594
Nichtärztliche Therapie und Heilkunde,12618
"Objekt-, Personen-, Brandschutz, Arbeitssicherheit",9256
Offiziere,18
Papier- und Verpackungstechnik,3135
Personalwesen und -dienstleistung,10032
Pferdewirtschaft,319
Pharmazie,2066
Physik,1507
"Polizei- und Kriminaldienst, Gerichts- und Justizvollzug",136
Produkt- und Industriedesign,135
"Psychologie, nichtärztliche Psychotherapie",1696
"Rechnungswesen, Controlling und Revision",24539
"Rechtsberatung, -sprechung und -ordnung",7380
Redaktion und Journalismus,1036
Reinigung,19801
"Schauspiel, Tanz und Bewegungskunst",31
Servicekräfte im Personenverkehr,464
Softwareentwicklung und Programmierung,8288
Speisenzubereitung,18809
Sprach- und Literaturwissenschaften,86
Steuerberatung,12119
Technische Forschung und Entwicklung,2703
Technische Mediengestaltung,1518
Technische Produktionsplanung und -steuerung,11417
"Technischer Betrieb des Eisenbahn-, Luft- und Schiffsverkehrs",321
"Technisches Zeichnen, Konstruktion und Modellbau",8089
Textiltechnik und -produktion,992
Textilverarbeitung,1686
"Theater-, Film- und Fernsehproduktion",187
Theologie und Gemeindearbeit,89
Tiefbau,8387
Tiermedizin und Tierheilkunde,387
Tierpflege,322
Tierwirtschaft,704
Tourismus und Sport,2788
Umweltmanagement und -beratung,670
Umweltschutztechnik,547
Unternehmensorganisation und -strategie,22841
Unteroffiziere mit Portepee,152
Unteroffiziere ohne Portepee,86
Ver- und Entsorgung,9487
"Veranstaltungs-, Kamera-, Tontechnik",1065
Veranstaltungsservice und -management,1109
Verkauf (ohne Produktspezialisierung),105201
"Verkauf Bekleidung, Elektro, KFZ, Hartwaren",9857
Verkauf von Lebensmitteln,13672
Verkauf von drogerie- und apothekenüblichen Waren,3350
Verlags- und Medienwirtschaft,290
Vermessung und Kartografie,1058
Versicherungs- und Finanzdienstleistungen,15207
Verwaltung,7350
Weinbau,136
Werbung und Marketing,9997
Wirtschaftswissenschaften,42
Öffentlichkeitsarbeit,262
Überwachung und Steuerung des Verkehrsbetriebs,1060
"Überwachung, Wartung Verkehrsinfrastruktur",622
