eintrittsdatum,count,monat,jahr
25_03_01-25_04_01,550308,3,2025
25_04_01-25_05_01,45876,4,2025
25_05_01-25_06_01,9012,5,2025
25_06_01-25_07_01,2959,6,2025
25_07_01-25_08_01,2311,7,2025
25_08_01-25_09_01,137873,8,2025
25_09_01-25_10_01,83189,9,2025
25_10_01-25_11_01,4988,10,2025
25_11_01-25_12_01,157,11,2025
25_12_01-26_01_01,303,12,2025
26_01_01-26_02_01,100,1,2026
26_02_01-26_03_01,45,2,2026
26_03_01-26_04_01,130,3,2026
26_04_01-26_05_01,72,4,2026
26_05_01-26_06_01,8,5,2026
26_06_01-26_07_01,9,6,2026
26_07_01-26_08_01,23,7,2026
26_08_01-26_09_01,1644,8,2026
26_09_01-26_10_01,2391,9,2026
26_10_01-26_11_01,111,10,2026
26_11_01-26_12_01,1,11,2026
27_01_01-27_02_01,2,1,2027
27_02_01-27_03_01,6,2,2027
27_03_01-27_04_01,2,3,2027
